CDM_TBL,src_code,concept_code,src_vocab_code,vocabulary_id,domain_id,target_concept_id
OBS_GEN,1157130009,1157130009,SNOMED,SNOMED,Observation,37156056
OBS_GEN,1525831000004108,1525831000004108,SNOMED,SNOMED,Observation,608748
OBS_GEN,1234801003,1234801003,SNOMED,SNOMED,Observation,37157763
OBS_GEN,1156494000,1156494000,SNOMED,SNOMED,Measurement,37160241
OBS_GEN,1279892009,1279892009,SNOMED,SNOMED,Measurement,37168391
OBS_GEN,1155813006,1155813006,SNOMED,SNOMED,Observation,607692
OBS_GEN,1264308008,1264308008,SNOMED,SNOMED,Observation,37158576
OBS_GEN,1279908003,1279908003,SNOMED,SNOMED,Observation,37150969
OBS_GEN,1155877003,1155877003,SNOMED,SNOMED,Observation,607740
OBS_GEN,1156187007,1156187007,SNOMED,SNOMED,Observation,603093
OBS_GEN,1155936003,1155936003,SNOMED,SNOMED,Observation,607777
OBS_GEN,1285297006,1285297006,SNOMED,SNOMED,Measurement,37168629
OBS_GEN,1155858000,1155858000,SNOMED,SNOMED,Observation,603063
OBS_GEN,1156435002,1156435002,SNOMED,SNOMED,Measurement,37160222
OBS_GEN,1155890005,1155890005,SNOMED,SNOMED,Observation,607753
OBS_GEN,1286854004,1286854004,SNOMED,SNOMED,Measurement,37168840
OBS_GEN,1149014004,1149014004,SNOMED,SNOMED,Observation,607040
OBS_GEN,1264491009,1264491009,SNOMED,SNOMED,Measurement,37167459
OBS_GEN,1268603000,1268603000,SNOMED,SNOMED,Observation,37154444
OBS_GEN,1285383001,1285383001,SNOMED,SNOMED,Observation,37159038
OBS_GEN,1287787004,1287787004,SNOMED,SNOMED,Measurement,1244479
OBS_GEN,1095781000004107,1095781000004107,SNOMED,SNOMED,Measurement,37160101
OBS_GEN,1155892002,1155892002,SNOMED,SNOMED,Observation,607755
OBS_GEN,1255079000,1255079000,SNOMED,SNOMED,Observation,37158110
OBS_GEN,1279559007,1279559007,SNOMED,SNOMED,Measurement,37168192
OBS_GEN,1280005003,1280005003,SNOMED,SNOMED,Measurement,37168454
OBS_GEN,1286921002,1286921002,SNOMED,SNOMED,Measurement,37168867
OBS_GEN,444510006,444510006,SNOMED,SNOMED,Measurement,40479812
OBS_GEN,1155895000,1155895000,SNOMED,SNOMED,Observation,607758
OBS_GEN,1156123009,1156123009,SNOMED,SNOMED,Measurement,37160177
OBS_GEN,1155794009,1155794009,SNOMED,SNOMED,Observation,607677
OBS_GEN,1155798007,1155798007,SNOMED,SNOMED,Observation,607681
OBS_GEN,1256003007,1256003007,SNOMED,SNOMED,Measurement,37165904
OBS_GEN,1285296002,1285296002,SNOMED,SNOMED,Observation,37159022
OBS_GEN,1155857005,1155857005,SNOMED,SNOMED,Observation,603062
OBS_GEN,1268597003,1268597003,SNOMED,SNOMED,Measurement,37167614
